page;rank;title;author;publisher;price;score;reviews;language;pages;edition;code;category
49;2949;Gondolatok az év minden napjára - Öröknaptár;C. S. Lewis;Harmat Kiadó, 2021;72.56;5.0;11.0;magyar;380.0;kemény kötés;9789632886688;
110;6631;Út a nyugalomhoz - Mindennapi tűnődések - Őszentsége, a dalai láma korunkról, jövőnkről, esélyeinkről;Dalai Láma;Írás Kiadó, 2001;29.07;0.0;0.0;magyar;404.0;cérnafűzött, keménytáblás;9789638417060;
114;6843;Barátok közt - A Barátok közt sorozat hivatalos kézikönyve;;Klub Publishing Kft., 2008;Előjegyezhető;0.0;0.0;magyar;136.0;puhatáblás, ragasztókötött;9789630657914;
139;8354;A napok iszkolása - Magvető könyvnotesz 2016-ra;;Magvető Könyvkiadó, 2015;Előjegyezhető;5.0;4.0;magyar;266.0;kemény kötés;9789631433302;Ajándék, utalványok > Naptár > Határidőnapló
170;10205;Jegyzetek - Kedvencünk, a kutya;Edizioni del Baldo;Alexandra Kiadó, 2014;Előjegyezhető;5.0;5.0;magyar;64.0;puhatáblás, ragasztókötött;5999556205470;Ajándék, utalványok > Jegyzetfüzet, notesz, toll
171;10281;A Válasz - Teremts magadnak anyagi függetlenséget, és élj kivételes életet!;John Assaraf;Édesvíz Kiadó, 2009;Előjegyezhető;0.0;0.0;magyar;328.0;cérnafűzött, keménytáblás;9789635290437;
178;10716;Amanda Quick: A titokzatos nő;;;;;;;;;;
192;11549;Jegyzetek - Tündérek álma, a boldogság;Edizioni del Baldo;Alexandra Kiadó, 2014;36.23;5.0;11.0;magyar;64.0;puhatáblás, ragasztókötött;5999556205487;Ajándék, utalványok > Jegyzetfüzet, notesz, toll
197;11822;A tenger hullámain - zsebnotesz;;Alexandra Kiadó, 2015;5.18;0.0;0.0;magyar;48.0;irkafűzött;9789633576076;Ajándék, utalványok > Jegyzetfüzet, notesz, toll
209;12592;A heroinnaplók;Nikki Sixx;;Előjegyezhető;0.0;0.0;magyar;440.0;ISBN: 9789632660615;;
257;15447;Jegyzetek - A természet dala;;Alexandra Kiadó, 2015;Előjegyezhető;5.0;1.0;magyar;64.0;karton;9789633576014;
277;16644;A felejthetetlen esküvő - 100 ötlet sorozat;Cathy Howes;Ventus Libro Kiadó, 2006;Előjegyezhető;0.0;0.0;magyar;112.0;cérnafűzött, keménytáblás;9789639546608;
277;16661;Jegyzetek - A szív szava;;Alexandra Kiadó, 2015;8.30;0.0;0.0;magyar;64.0;karton;9789633576007;Ajándék, utalványok > Jegyzetfüzet, notesz, toll
282;16975;Jegyzetek - Kedvencünk, a macska;Edizioni del Baldo;Alexandra Kiadó, 2014;Előjegyezhető;0.0;0.0;magyar;64.0;puhatáblás, ragasztókötött;5999556205500;
326;19568;A napok iszkolása - Egy év Esterházy Péterrel - Magvető könyvnotesz 2017-re - idézetek, képek, rajzok;Szegő János (szerk.);Magvető Könyvkiadó, 2016;Előjegyezhető;0.0;0.0;magyar;256.0;kemény kötés;9789631434699;Ajándék, utalványok > Naptár > Falinaptár > További naptárak
330;19832;Kürtő úr - Fakszimile kiadás;J. R. R. Tolkien;Partvonal Könyvkiadó, 2008;31.13;0.0;0.0;magyar;100.0;cérnafűzött, keménytáblás;9789639910072;Idegen nyelvű > English books > Children's Books > First Reading
339;20390;A napok iszkolása 2018 - Egy év Esterházy Péterrel;;Magvető Könyvkiadó, 2017;;0.0;0.0;magyar;256.0;kemény kötés;9789631435917;
342;20569;A világvége illemtana - Túlélőkönyv;Meszlényi Attila;Ad Librum Kiadó, 2008;Előjegyezhető;0.0;0.0;magyar;102.0;puhatáblás, ragasztókötött;9789638776952;
359;21597;Salman Rushdie díszdoboz - Sálímár bohóc + Az éjfél gyermekei + Hárún és a mesék tengere + A mór utolsó sóhaja + Szégyen;Salman Rushdie;Ulpius-ház, 2008;103.79;5.0;1.0;díszdobozban;;;;
363;21795;"I Know What You Did Last Summer (Easy Readers ""B"") - Young Adult B";Lois Duncan;EASY READERS, 2008;18.81;0.0;0.0;magyar;112.0;puhatáblás, ragasztókötött;9788723905222;Idegen nyelvű > English books > Fiction > Crime Stories
380;22832;Kutyás zsebnotesz - Kutya a porondon;Edizioni del Baldo;Alexandra Kiadó, 2015;Előjegyezhető;5.0;1.0;magyar;48.0;irkafűzött;9789633576045;
381;22892;A napok iszkolása 2020 - Egy év versekkel és prózával - Magvető könyvnotesz;;Magvető Könyvkiadó, 2019;Előjegyezhető;5.0;1.0;magyar;256.0;kemény kötés;9789631438628;
402;24134;Balett - Pixi ismeretterjesztő füzetei 1.;Nicole Künzel;Nicam Media Könyvkiadó Kft., 2011;6.12;5.0;1.0;magyar;32.0;irkafűzött;9789638925817;
404;24260;Én vagyok a móri mészáros? - Nagy László eredeti naplójával;Nothoff Ingrid;Elektra Kiadóház, 2009;Előjegyezhető;0.0;0.0;magyar;222.0;fűzve;9789630653046;
408;24497;A napok iszkolása 2019 - Egy év versekkel és prózával - Magvető könyvnotesz;;Magvető Könyvkiadó, 2018;Előjegyezhető;0.0;0.0;magyar;256.0;kemény kötés;9789631437690;
420;25251;A természet ölelése;Szabó Zsolt (válogatta);Szalay Könyvek, 2018;14.43;0.0;0.0;magyar;128.0;puhatáblás, ragasztókötött;9789632371641;Ajándék, utalványok > Jegyzetfüzet, notesz, toll
465;27956;Tettesek és tetthelyek - Munkában a bűnügyi helyszínelők;;Aréna 2000 Kiadó, 2006;Előjegyezhető;0.0;0.0;magyar;144.0;cérnafűzött, keménytáblás;9799637046697;
468;28095;Budapest - A Duna gyöngyszeme - orosz nyelvű;Székely András;Merhavia Kiadó, 2010;Előjegyezhető;5.0;2.0;magyar;40.0;irkafűzött;9789637587498;Idegen nyelvű > Egyéb idegen nyelvű > Orosz
494;29685;A legkisebb babakönyv;;General Press Kiadó, 2009;Előjegyezhető;5.0;1.0;magyar;96.0;kemény kötés;9789636430726;
503;30226;Budapest - A Duna gyöngyszeme - kínai nyelvű;Székely András;Merhavia Kiadó, 2008;Előjegyezhető;0.0;0.0;magyar;20.0;irkafűzött;9789637587580;Idegen nyelvű > Egyéb idegen nyelvű > Egyéb
511;30669;Cicás zsebnotesz - Kedvencünk, a macska;;Alexandra Kiadó, 2014;46.70;0.0;0.0;magyar;48.0;irkafűzött;9789633572030;
526;31594;Sherlock Holmes and the Mystery of Boscombe Pool - Audio CD pack - Level 3;Arthur Conan Doyle;PEARSON-LONGMAN, 2008;70.49;5.0;1.0;magyar;46.0;puhatáblás, ragasztókötött;9781405879361;Idegen nyelvű > English books > Fiction > Crime Stories
534;32057;A legszebb ajándékot nyújtom át neked;Szabó Lea (szerk.);;Előjegyezhető;0.0;0.0;magyar;64.0;ISBN: 9789633707975;;
537;32280;A csend birodalma;Helen Exley;;Előjegyezhető;5.0;1.0;magyar;136.0;ISBN: 9789633701225;;
540;32404;La perla del Danubio - Budapest - A Duna gyöngyszeme - LA PERLA DEL DANUBIO;Székely András;Merhavia Kiadó, 2010;Előjegyezhető;5.0;1.0;magyar;32.0;irkafűzött;9789637587238;Idegen nyelvű > Egyéb idegen nyelvű > Olasz
558;33488;Az érintetlen természet harmóniája a Balkán történelmi levegőjével - Bosznia és Hercegovina;Joó András;Dekameron, 2020;69.03;0.0;0.0;magyar;304.0;ragasztott;9786155072352;
563;33819;Ungheria: La cucina tra oriente e occidente - magyar kóstoló;Gergely Anikó;Könemann, 2000;72.61;5.0;2.0;magyar;318.0;cérnafűzött, keménytáblás;9783829045827;Idegen nyelvű > Egyéb idegen nyelvű > Olasz
564;33894;Puskázási kézikönyv - AVAGY HOGYAN SZEREZZEN JÓ JEGYET A LUSTA EMBER;Abaházi Viktor;BBS-Info Kft., 2002;47.75;5.0;2.0;magyar;128.0;cérnafűzött, keménytáblás;9789638628800;
578;34718;L' Ungheria delle meraviglie - Csodás Magyarország - l'ungheria delle meraviglie;Szerk.: Fizil Éva;Folpress Kft, 2006;16.59;0.0;0.0;magyar;32.0;fűzve;9789639172685;Idegen nyelvű > Egyéb idegen nyelvű > Olasz
592;35547;Budapest éjféltől-éjfélig (magyar-angol-francia) - Magyar-francia-angol;F. Biart;Helikon Kiadó, 2005;Előjegyezhető;0.0;0.0;cérnafűzött, keménytáblás;;;;Idegen nyelvű > Egyéb idegen nyelvű > Többnyelvű
603;36186;Kis könyv karácsonyra;Brown, H.J.-Brown, R.-Peel, K.;Tericum Kiadó, 2002;Előjegyezhető;0.0;0.0;magyar;200.0;kötve;9638453621;
612;36739;Sápi, a kiskacsa - Bábozós könyvek;Klaartje van der Put;Móra Könyvkiadó, 2006;Előjegyezhető;0.0;0.0;magyar;12.0;lapozó;9789631180442;
615;36931;A pokolbéli kutya nyomában (magyar-angol) - Lerner's Crime Story - Tanulókrimi;Marc Hillefeld;Cser Kiadó, 2004;Előjegyezhető;0.0;0.0;magyar;144.0;fűzve;9789639560192;Idegen nyelvű > Egyéb idegen nyelvű > Többnyelvű
622;37356;Vuelta a Espana - Spanyol nyelvtani gyakorlókönyv;Bátki Piroska;Nemzeti Tankönyvkiadó, 2013;Előjegyezhető;0.0;0.0;magyar;160.0;puhatáblás, ragasztókötött;9789631954586;Idegen nyelvű > Egyéb idegen nyelvű > Spanyol
625;37518;La joya del Danubio Budapest - Budapest a Duna gyöngyszeme - Donaupärlen;Székely András;Merhavia Kiadó, 2008;Előjegyezhető;5.0;1.0;magyar;32.0;irkafűzött;9789637587641;Idegen nyelvű > Egyéb idegen nyelvű > Spanyol
632;37961;Three men on the bummel;Jerome K. Jerome;Penguin Books, 1994;Előjegyezhető;0.0;0.0;magyar;208.0;fűzve;0140621458;Idegen nyelvű > English books > Fiction > Novels > Short Stories
641;38478;Csokivarázs zsebnotesz - Kedvencünk, a csokoládé;;Alexandra Kiadó, 2014;Előjegyezhető;5.0;3.0;magyar;48.0;irkafűzött;9789633572023;Ajándék, utalványok > Jegyzetfüzet, notesz, toll
648;38918;The Son of the White Horse - A hungarian fairy tale;Arany László;Móra Könyvkiadó, 1999;Előjegyezhető;5.0;2.0;ISBN: 9631174972;;;;Idegen nyelvű > English books > Children's Books > Fairy Tales
648;38933;Tűzvédelem;Györkös Tivadar;COMPLEX KIADÓ KFT, 2009;48.72;5.0;2.0;magyar;300.0;puhatáblás, ragasztókötött;9789632950174;
660;39650;Műszaki biztonság;Varga János;COMPLEX KIADÓ KFT, 2009;Előjegyezhető;5.0;2.0;magyar;262.0;puhatáblás, ragasztókötött;9789632950143;
669;40196;The Tragedy of Man - 7. kiadás;Madách Imre;Corvina Kiadó, 2018;140.91;0.0;0.0;magyar;269.0;kartonált ragasztókötés visszahajló füllel;9789631365528;Idegen nyelvű > English books > Fiction > Lyrics, Poetry, Essays, Speeches
689;41343;A világ legnagyobb sörivójának;Koncz Gergely (szerk.);;Előjegyezhető;0.0;0.0;ISBN: 9789632510385;;;;
696;41802;WALL-E Digibook;;Pro Video Film & Distribution Kft., 2014;Előjegyezhető;0.0;0.0;magyar;95.0;dobozban / tokban;9789638989505;Film > Gyerek és ifjúsági > Mesék
709;42546;King's Ransom (OBW 5);Ed McBain;Librotrade Kft., 2001;Előjegyezhető;0.0;0.0;magyar;104.0;fűzve;9780194230711;Idegen nyelvű > English books > School and Learning > Schoolbooks, Readings, Interpretations
712;42741;Tuna nehri'nin incisi Budapeste - Budapest - A Duna gyöngyszeme - TUNA NEHRI' NIN INCISI;Székely András;Merhavia Kiadó, 2008;Előjegyezhető;5.0;2.0;magyar;32.0;irkafűzött;9789637587726;Idegen nyelvű > Egyéb idegen nyelvű > Egyéb
726;43598;The Songs of Distant Earth and Other Stories (OBW 4);Arthur C. Clarke;Librotrade Kft., 2000;8.88;0.0;0.0;ISBN: 9780194230469;;;;Idegen nyelvű > English books > School and Learning > Schoolbooks, Readings, Interpretations
726;43614;Vészjelek a belső fülből - Segítség tinnitus esetén;Markus, Michéle, Hoffman;M-érték Kiadó Kft., 2005;;0.0;0.0;magyar;112.0;fűzve;9789637304231;
740;44456;Budapest - A Duna gyöngyszeme - lengyel nyelvű - PERLA NAD DUNAJEM;Székely András;Merhavia Kiadó, 2006;Előjegyezhető;0.0;0.0;magyar;32.0;irkafűzött;9789637587481;Idegen nyelvű > Egyéb idegen nyelvű > Egyéb
744;44648;The Noszty boy's affair with Mari Tóth - A NOSZTY FIÚ ESETE TÓTH MARIVAL;Mikszáth Kálmán;Corvina Kiadó, 2005;36.25;0.0;0.0;magyar;416.0;fűzve;9789631354218;Idegen nyelvű > English books > Fiction > Novels > Short Stories
745;44744;A barátok az élet napsugarai;Orosné Galaczi Edit;;13.26;0.0;0.0;magyar;126.0;ISBN: 9789639677562;;
756;45364;Világló részletek (képeslapok) - Fényképek a családi albumból;Nádas Péter;Jelenkor Kiadó, 2018;Előjegyezhető;0.0;0.0;magyar;12.0;szabadlapos;5998644104725;Ajándék, utalványok > Képeslapok/Üdvözlőlapok
756;45383;Budapest - A Duna gyöngyszeme - görög nyelvű;Székely András;Merhavia Kiadó, 2008;Előjegyezhető;0.0;0.0;magyar;32.0;irkafűzött;9789637587139;Idegen nyelvű > Egyéb idegen nyelvű > Egyéb
756;45384;Budapest - A Duna gyöngyszeme - portugál nyelvű - A PÉROLA DO DANÚBIO;Székely András;Merhavia Kiadó, 2006;Előjegyezhető;0.0;0.0;magyar;32.0;irkafűzött;9799637587923;Idegen nyelvű > Egyéb idegen nyelvű > Egyéb
767;46041;A mosoly - Gondolatok a mosolyról;Orosné Galaczi Edit;;Előjegyezhető;0.0;0.0;magyar;162.0;ISBN: 9789639677555;;
779;46762;Budapest - A Duna gyöngyszeme - héber nyelvű;Székely András;Merhavia Kiadó, 2006;Előjegyezhető;0.0;0.0;magyar;32.0;fűzve;9789637587610;Idegen nyelvű > Egyéb idegen nyelvű > Egyéb
791;47505;Quiz mester 3 - Műveltségi kérdések, tesztek és kérdések;Végvári László;Vagabund Kiadó, 2007;14.13;0.0;0.0;magyar;208.0;fűzve;9789639685246;
791;47506;Quiz mester 2. - Műveltségi kérdések, tesztek és feladatok;Végvári László;Vagabund Kiadó, 2006;14.13;0.0;0.0;magyar;208.0;fűzve;9789639685239;
797;47827;Remember Miranda (OBW 1);Rowena Akinyemi;Librotrade Kft., 2000;8.89;0.0;0.0;ISBN: 0194229548;;;;Idegen nyelvű > English books > School and Learning > Schoolbooks, Readings, Interpretations
800;48051;Iránytű az élethez;G. Molnár Liza;;71.90;0.0;0.0;magyar;110.0;ISBN: 9789639916296;;
800;48057;Házasság - a legszebb ajándék;Helen Exley;;Előjegyezhető;0.0;0.0;magyar;368.0;ISBN: 9633693112;;
807;48444;Harmónia, a hableány;Sue McMillan;Móra Könyvkiadó, 2012;Előjegyezhető;0.0;0.0;magyar;8.0;lapozó;9789631192490;Idegen nyelvű > Egyéb idegen nyelvű > Angol > Gyermekkönyvek > Leporellók, lapozók
820;49258;Grace Darling (OBW 2) - OBW Library 2.;Tim Vicary;Librotrade Kft., 2001;8.89;0.0;0.0;fűzve;;;;Idegen nyelvű > English books > School and Learning > Schoolbooks, Readings, Interpretations
825;49509;A hálózati nyilvántartás szereplői - Az államvédelmi és állambiztonsági hálózat nyilvántartása Szegeden és Csongrád megyében;Bálint László;;Előjegyezhető;5.0;4.0;magyar;333.0;puhatáblás, ragasztókötött;9789631294972;
829;49779;This Rough Magic (OBW 5);Mary Stewart;Librotrade Kft., 2001;Előjegyezhető;0.0;0.0;magyar;104.0;fűzve;9780194230742;Idegen nyelvű > English books > School and Learning > Schoolbooks, Readings, Interpretations
830;49803;Fordított világ - Titkok a villából;Nagy Alekosz;BÓVÁRI KFT., 2011;Előjegyezhető;4.5;2.0;magyar;292.0;puhatáblás, ragasztókötött;9789630824620;
853;51218;Budapest - A Duna gyöngyszeme - horvát nyelvű - BISER NA OBALI DUNAVA;Székely András;Merhavia Kiadó, 2008;Előjegyezhető;5.0;1.0;magyar;20.0;fűzve;9789637587146;Idegen nyelvű > Egyéb idegen nyelvű > Egyéb
853;51219;Parel van der Donau Boedapest - Budapest - A Duna gyöngyszeme - PAREL VAN DER DONAU - BOEDAPEST;Székely András;Merhavia Kiadó, 2008;Előjegyezhető;5.0;1.0;magyar;32.0;irkafűzött;9789637587160;Idegen nyelvű > Egyéb idegen nyelvű > Egyéb
854;51297;Zengjetek orgonák! - Intonációk a Református Korálkönyv tételeihez;Sepsy Károly;Kálvin Kiadó, 2013;Előjegyezhető;4.5;2.0;magyar;320.0;dobozban / tokban;9789635582136;
855;51342;Who, Sir? Me, Sir? (OBW 3);K. M. Peyton;Librotrade Kft., 2000;8.92;4.5;2.0;ISBN: 9780194230216;;;;Idegen nyelvű > English books > School and Learning > Schoolbooks, Readings, Interpretations
864;51856;Budapest - A Duna gyöngyszeme - cseh nyelvű - Perla na Dunaji;Székely András;Merhavia Kiadó, 2004;Előjegyezhető;0.0;0.0;magyar;66.0;fűzve;9637587314;Idegen nyelvű > Egyéb idegen nyelvű > Egyéb
865;51942;Megjegyezhető kandzsik - 1. kötet;Rácz Zoltán;;Előjegyezhető;0.0;0.0;magyar;502.0;ISBN: 9789638889232;;
865;51957;Síva utolsó ránca;L. Leslie Laticel;;Előjegyezhető;4.5;2.0;magyar;200.0;ISBN: 9789639285484;;
868;52097;Le pére Goriot - Easy Readers D;Honoré de Balzac;EASY READERS, 2005;Előjegyezhető;4.5;2.0;magyar;88.0;puhatáblás, ragasztókötött;9788723906205;Idegen nyelvű > Egyéb idegen nyelvű > Francia
869;52149;Ich war den Hunnen untertan - A láthatatlan ember;Gárdonyi Géza;Corvina Kiadó, 2002;136.94;0.0;0.0;magyar;300.0;kötve;9789631351729;Idegen nyelvű > Deutsche Bücher > Belletristik > Romane > Erzählungen
875;52533;Chemical Secret (OBW 3) - OBW Library 3.;Tim Vicary;Librotrade Kft., 2001;8.54;4.5;2.0;ISBN: 9780194229999;;;;Idegen nyelvű > English books > School and Learning > Schoolbooks, Readings, Interpretations
881;52880;The Children of the New Forest (OBW 2);Captain Marryat;Librotrade Kft., 2000;Előjegyezhető;0.0;0.0;ISBN: 9780194229678;;;;Idegen nyelvű > English books > School and Learning > Schoolbooks, Readings, Interpretations
885;53129;Emlékek a beat korszakból;Kőbányai János;Múlt és Jövő Alapítvány, 2014;37.39;4.5;2.0;magyar;300.0;puhatáblás, ragasztókötött;9786155480027;
